time_step,avg_reward,tax_rate
1,0.577966020629722,0
2,0.7191665101690319,0
3,1.4175434780975937,0
4,1.3278774209799322,0
5,0.0,0
6,0.0,0
7,2.154622142723845,0
8,2.4243221905695913,0
9,0.025,0
10,0.0,0
11,0.025,0
12,0.0,0
13,1.344657392761849,0
14,0.6937880158199755,0
15,0.0,0
16,0.4869383536027153,0
17,0.6456992127986716,0
18,0.025000000000000005,0
19,1.0040461441417283,0
20,0.025,0
21,0.5690116374309262,0
22,0.610779732529199,0
23,0.7956791148591159,0
24,0.0,0
25,1.1506140416746902,0
26,0.8968059281231987,0
27,0.06000000000000001,0
28,0.02,0
29,0.8792353115666861,0
30,0.02,0
31,0.7335170631970169,0
32,1.153061361639952,0
33,0.4946478748125212,0
34,0.558807547313165,0
35,1.2635955134893757,0
36,2.5979772443583995,0
37,0.0,0
38,0.016666666666666666,0
